               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093621,            0.031557,                   0,             0.28046,             0.36842,              0.1754,            0.048537,            0.054272,            0.012956,                   0,             0.07039,             0.00329,             0.00329
                   1,            0.064257,            0.028821,                   0,             0.25584,             0.68421,             0.35294,            0.099759,            0.060046,            0.011201,                   0,            0.040324,           0.0065578,           0.0065578
                   2,            0.058406,            0.025282,                   0,             0.63631,             0.52632,             0.49651,             0.12842,             0.04204,           0.0099008,                   0,            0.010192,           0.0097596,           0.0097596
                   3,            0.053402,            0.024148,                   0,             0.70224,             0.74508,             0.80806,             0.26612,             0.04053,           0.0078769,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.049847,            0.023069,                   0,             0.87523,             0.73684,             0.85076,              0.3238,            0.042677,           0.0096788,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.047641,            0.021559,                   0,             0.82042,             0.78947,             0.76742,             0.25654,            0.037818,           0.0093048,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.046269,            0.022742,                   0,             0.72772,             0.78947,              0.7799,             0.30015,            0.033072,           0.0091186,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.045787,            0.021917,                   0,             0.84163,             0.78947,             0.87562,             0.31913,            0.043124,            0.008626,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.044939,            0.021469,                   0,             0.71501,             0.78947,             0.73044,             0.22729,            0.042761,           0.0078659,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.044783,            0.021495,                   0,             0.82001,             0.84211,             0.78081,             0.28868,            0.039571,           0.0084858,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.043458,            0.021361,                   0,             0.76492,             0.73684,             0.73437,             0.25009,            0.038089,           0.0075088,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.043138,            0.021413,                   0,             0.84948,             0.73684,             0.77884,             0.32443,            0.041766,           0.0079052,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.042636,            0.020634,                   0,              0.8631,             0.78947,             0.80586,             0.29967,            0.039962,             0.00791,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.041925,            0.020035,                   0,             0.77396,             0.72149,             0.73883,             0.30437,            0.036595,           0.0080247,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.041968,            0.020623,                   0,             0.76268,             0.68421,             0.71823,             0.28074,            0.041712,           0.0082915,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.041927,            0.020762,                   0,             0.79296,             0.80691,             0.82702,             0.29948,            0.039456,           0.0075951,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.041112,            0.018868,                   0,             0.79669,             0.84211,               0.866,             0.33914,            0.036565,           0.0075178,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.040881,            0.020132,                   0,             0.86662,             0.78947,             0.81713,             0.34796,            0.035655,           0.0086212,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.039926,            0.020236,                   0,             0.89831,             0.78947,              0.8557,             0.33698,            0.037902,            0.007786,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.040165,            0.019909,                   0,             0.75381,             0.84211,             0.83734,             0.33984,            0.034709,            0.008409,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.040053,            0.019625,                   0,             0.86281,             0.84211,             0.81436,             0.30989,            0.035844,           0.0082908,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.039992,            0.019732,                   0,             0.75738,             0.73684,             0.78024,             0.33508,            0.034676,           0.0079315,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.038569,            0.019306,                   0,               0.675,             0.68421,             0.71682,             0.28417,            0.041462,           0.0086098,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.039844,            0.020332,                   0,             0.75939,             0.83099,             0.79556,             0.28233,            0.041275,            0.008868,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.038982,            0.020179,                   0,             0.87923,             0.84211,             0.83542,             0.28529,            0.040425,           0.0089934,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.038875,            0.019675,                   0,             0.82483,              0.7438,             0.84227,             0.28284,            0.042424,           0.0091248,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.037609,            0.019092,                   0,             0.77992,              0.7465,             0.80801,             0.30209,            0.039481,           0.0085039,                   0,            0.007525,            0.007525,            0.007525
                  27,             0.03784,            0.019361,                   0,             0.85824,             0.73684,             0.80144,             0.29913,            0.038656,           0.0082242,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.038089,              0.0187,                   0,             0.87693,             0.78947,             0.90085,             0.36364,            0.034738,           0.0090463,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.037573,            0.018855,                   0,             0.82084,               0.724,             0.78534,              0.2601,            0.038411,           0.0099781,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.037245,            0.018497,                   0,             0.77474,             0.73684,             0.81595,             0.31704,            0.035845,           0.0081658,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.036963,            0.019122,                   0,             0.88751,             0.83102,             0.83966,             0.30629,            0.040502,           0.0080311,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.036173,            0.018945,                   0,             0.53651,             0.68421,             0.58245,             0.24981,            0.035795,           0.0093925,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.036298,            0.019168,                   0,             0.88987,             0.78947,              0.8759,             0.32889,            0.034441,           0.0085397,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.036163,            0.017969,                   0,             0.91054,             0.68421,             0.78765,             0.30021,            0.036544,           0.0092173,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.036386,            0.018817,                   0,             0.84458,             0.63158,             0.77642,              0.2963,            0.037593,           0.0088003,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.035662,            0.018267,                   0,             0.93635,             0.77495,             0.85101,             0.37077,            0.037458,           0.0078707,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.035507,            0.018109,                   0,             0.79427,             0.81344,             0.88057,              0.3542,            0.034615,           0.0087404,                   0,            0.006436,            0.006436,            0.006436
                  38,             0.03576,            0.018202,                   0,             0.83456,             0.68421,             0.76995,             0.26197,            0.040188,           0.0084786,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.035034,            0.018644,                   0,             0.70216,             0.78947,             0.77702,              0.2712,            0.038105,           0.0095565,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.03465,            0.018151,                   0,             0.70451,             0.87886,             0.83402,             0.30653,             0.03767,           0.0088069,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.034329,            0.017622,                   0,             0.88868,             0.84039,             0.88378,             0.34539,            0.038165,           0.0080914,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.03442,            0.017694,                   0,             0.74884,             0.84211,             0.85192,             0.31605,            0.038741,           0.0092456,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.033788,            0.017842,                   0,             0.92102,             0.78947,             0.88966,             0.37057,            0.037735,           0.0078719,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.034193,            0.017921,                   0,             0.80558,             0.73684,             0.80185,             0.31312,            0.038443,           0.0085804,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.033936,             0.01734,                   0,             0.82838,             0.84211,             0.88215,             0.32061,            0.037746,           0.0085666,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.033983,            0.018142,                   0,             0.92346,             0.78947,             0.85521,             0.33914,             0.03674,           0.0082154,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.033938,            0.017269,                   0,             0.79905,             0.83736,             0.90724,             0.35781,            0.037859,            0.008462,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.033266,            0.017278,                   0,             0.90768,             0.73684,             0.89068,             0.34701,            0.036972,           0.0083487,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.03275,            0.017046,                   0,             0.85651,             0.94273,             0.94851,             0.37586,            0.035377,           0.0078847,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.03288,            0.017278,                   0,             0.72231,             0.73684,             0.80242,             0.29887,            0.038768,           0.0092242,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.032631,            0.016865,                   0,             0.76621,             0.73684,             0.86373,             0.33535,             0.03581,           0.0083489,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.032399,              0.0169,                   0,             0.83158,             0.78004,             0.83097,             0.33838,            0.037126,           0.0088582,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.031952,            0.016693,                   0,              0.7813,             0.94737,             0.90094,              0.3253,             0.03705,           0.0086942,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.032381,            0.017106,                   0,             0.69319,             0.83274,             0.80744,             0.30438,            0.039176,           0.0093009,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.031951,            0.016489,                   0,             0.67151,             0.89474,             0.79905,             0.31927,             0.03983,           0.0081866,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.031903,            0.016792,                   0,             0.75158,             0.73684,             0.77142,             0.33579,            0.039661,           0.0082688,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.031318,            0.016321,                   0,             0.82987,             0.84211,             0.84409,             0.32432,            0.041998,           0.0084023,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.031586,            0.016508,                   0,             0.84837,             0.68421,              0.8276,             0.30319,            0.037138,           0.0094509,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.031649,            0.016595,                   0,             0.88234,             0.78935,             0.90665,             0.37016,            0.038188,           0.0081546,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.030723,            0.016556,                   0,             0.77473,             0.78947,             0.84259,             0.33361,            0.038812,           0.0094316,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.030527,            0.015876,                   0,              0.8047,             0.68421,              0.8035,             0.36859,             0.03918,           0.0086842,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.030297,            0.016046,                   0,             0.75952,             0.83155,             0.86611,             0.35602,            0.040361,           0.0087376,                   0,            0.003961,            0.003961,            0.003961
